0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:50:34 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:52:05 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:52:08 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:52:12 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:52:34 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:52:34 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:58:36 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 13235
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:58:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:58:46 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13876
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:58:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:59:24 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 12647
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:59:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:00:10 +0530] "GET /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:00:36 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 12647
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:00:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:00:42 +0530] "GET /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:01:37 +0530] "POST /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10672
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:01:43 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 12869
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:01:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:01:49 +0530] "GET /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:15 +0530] "POST /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10672
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:26 +0530] "POST /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10672
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:29 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 13307
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:48 +0530] "POST /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 12563
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:51 +0530] "GET /ORSProj3/ctl/RoleCtl?id=4 HTTP/1.1" 200 10517
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:55 +0530] "POST /ORSProj3/ctl/RoleCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:55 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 13307
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:02:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:03:10 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:03:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:04:24 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 14264
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:04:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:04:53 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 14264
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:04:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:05:37 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:05:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:05:45 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 13621
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:05:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:06:20 +0530] "POST /ORSProj3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:06:21 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:06:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:07:39 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:07:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:08:44 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:08:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:08 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 14191
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:15 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:18 +0530] "POST /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10104
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:20 +0530] "POST /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:38 +0530] "GET /ORSProj3/ctl/StudentCtl HTTP/1.1" 200 12494
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:10:44 +0530] "GET /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 10106
